end, val ,accn,fy,fp,form,filed,frame
3/31/20," 75,009,640,000.00 ",0000719739-20-000036,2020,Q1,10-Q,5/11/20,CY2020Q1I
6/30/20," 85,730,985,000.00 ",0000719739-20-000055,2020,Q2,10-Q,8/10/20,CY2020Q2I
9/30/20," 96,916,771,000.00 ",0000719739-20-000074,2020,Q3,10-Q,11/5/20,CY2020Q3I
12/31/20," 115,511,007,000.00 ",0000719739-21-000036,2021,Q1,10-Q,5/10/21,
12/31/20," 115,511,000,000.00 ",0000719739-21-000060,2021,Q2,10-Q,8/6/21,
12/31/20," 115,511,000,000.00 ",0000719739-21-000071,2021,Q3,10-Q,11/8/21,
3/31/21," 142,346,620,000.00 ",0000719739-21-000036,2021,Q1,10-Q,5/10/21,CY2021Q1I
6/30/21," 163,399,000,000.00 ",0000719739-21-000060,2021,Q2,10-Q,8/6/21,CY2021Q2I
9/30/21," 190,996,000,000.00 ",0000719739-21-000071,2021,Q3,10-Q,11/8/21,CY2021Q3I
12/31/21," 211,478,000,000.00 ",0000719739-22-000040,2022,Q1,10-Q,5/6/22,
12/31/21," 211,478,000,000.00 ",0000719739-22-000055,2022,Q2,10-Q,8/8/22,
12/31/21," 211,308,000,000.00 ",0000719739-22-000081,2022,Q3,10-Q,11/7/22,
3/31/22," 220,355,000,000.00 ",0000719739-22-000040,2022,Q1,10-Q,5/6/22,CY2022Q1I
6/30/22," 214,389,000,000.00 ",0000719739-22-000055,2022,Q2,10-Q,8/8/22,CY2022Q2I
9/30/22," 212,867,000,000.00 ",0000719739-22-000081,2022,Q3,10-Q,11/7/22,CY2022Q3I
