end,val,accn,fy,fp,form,filed,frame,start
2020-12-31,3206000000.0,0000719739-21-000060,2021,Q2,10-Q,2021-08-06,,
2020-12-31,3206000000.0,0000719739-21-000071,2021,Q3,10-Q,2021-11-08,,
2020-12-31,3206000000.0,0000719739-22-000023,2021,FY,10-K,2022-03-01,CY2020Q4I,
2021-03-31,4184114000.0,0000719739-21-000036,2021,Q1,10-Q,2021-05-10,CY2021Q1I,
2021-06-30,2650000000.0,0000719739-21-000060,2021,Q2,10-Q,2021-08-06,CY2021Q2I,
2021-09-30,2074000000.0,0000719739-21-000071,2021,Q3,10-Q,2021-11-08,CY2021Q3I,
2021-12-31,1928000000.0,0000719739-22-000023,2021,FY,10-K,2022-03-01,,
2021-12-31,1928000000.0,0000719739-22-000040,2022,Q1,10-Q,2022-05-06,,
2021-12-31,1928000000.0,0000719739-22-000055,2022,Q2,10-Q,2022-08-08,,
2021-12-31,1791000000.0,0000719739-22-000081,2022,Q3,10-Q,2022-11-07,,
2021-12-31,1791000000.0,0000719739-23-000021,2022,FY,10-K,2023-02-24,CY2021Q4I,
2022-03-31,3088000000.0,0000719739-22-000040,2022,Q1,10-Q,2022-05-06,CY2022Q1I,
2022-06-30,2777000000.0,0000719739-22-000055,2022,Q2,10-Q,2022-08-08,CY2022Q2I,
2022-09-30,3523000000.0,0000719739-22-000081,2022,Q3,10-Q,2022-11-07,CY2022Q3I,
2022-12-31,3082000000.0,0000719739-23-000021,2022,FY,10-K,2023-02-24,CY2022Q4I,
2009-12-31,139947000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,,
2009-12-31,139947000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,,
2009-12-31,139947000.0,0001193125-11-047635,2010,FY,10-K,2011-02-25,CY2009Q4I,
2010-06-30,222073000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,CY2010Q2I,
2010-09-30,263283000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,CY2010Q3I,
2010-12-31,196037000.0,0001193125-11-047635,2010,FY,10-K,2011-02-25,,
2010-12-31,196037000.0,0001193125-11-130721,2011,Q1,10-Q,2011-05-06,,
2010-12-31,196037000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,,
2010-12-31,196037000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,,
2010-12-31,196037000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,CY2010Q4I,
2011-03-31,200768000.0,0001193125-11-130721,2011,Q1,10-Q,2011-05-06,CY2011Q1I,
2011-06-30,462614000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,CY2011Q2I,
2011-09-30,254256000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,CY2011Q3I,
2011-12-31,405321000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,
2011-12-31,405321000.0,0001193125-12-225234,2012,Q1,10-Q,2012-05-10,,
2011-12-31,405321000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,,
2011-12-31,405321000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,,
2011-12-31,405321000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2011Q4I,
2012-03-31,307537000.0,0001193125-12-225234,2012,Q1,10-Q,2012-05-10,CY2012Q1I,
2012-06-30,312523000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,CY2012Q2I,
2012-09-30,330038000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,CY2012Q3I,
2012-12-31,360566000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,,
2012-12-31,360566000.0,0000719739-13-000019,2013,Q1,10-Q,2013-05-10,,
2012-12-31,360566000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,,
2012-12-31,360566000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,,
2012-12-31,360566000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,CY2012Q4I,
2013-03-31,359380000.0,0000719739-13-000019,2013,Q1,10-Q,2013-05-10,CY2013Q1I,
2013-06-30,330394000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,CY2013Q2I,
2013-09-30,358905000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,CY2013Q3I,
2013-12-31,404586000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,
2013-12-31,404586000.0,0000719739-14-000021,2014,Q1,10-Q,2014-05-09,,
2013-12-31,404586000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,,
2013-12-31,404586000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,,
2013-12-31,404586000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,CY2013Q4I,
2014-03-31,407573000.0,0000719739-14-000021,2014,Q1,10-Q,2014-05-09,CY2014Q1I,
2014-06-30,559073000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,CY2014Q2I,
2014-09-30,517462000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,CY2014Q3I,
2014-12-31,483493000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,
2014-12-31,483493000.0,0000719739-15-000034,2015,Q1,10-Q,2015-05-11,,
2014-12-31,483493000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,,
2014-12-31,483493000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,,
2014-12-31,483493000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,CY2014Q4I,
2015-03-31,686501000.0,0000719739-15-000034,2015,Q1,10-Q,2015-05-11,CY2015Q1I,
2015-06-30,614690000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,CY2015Q2I,
2015-09-30,566370000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,CY2015Q3I,
2015-12-31,639094000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,
2015-12-31,639094000.0,0000719739-16-000085,2016,Q1,10-Q,2016-05-10,,
2015-12-31,639094000.0,0000719739-16-000095,2016,Q2,10-Q,2016-08-08,,
2015-12-31,639094000.0,0000719739-16-000114,2016,Q3,10-Q,2016-11-08,,
2015-12-31,639094000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,CY2015Q4I,
2016-03-31,506571000.0,0000719739-16-000085,2016,Q1,10-Q,2016-05-10,CY2016Q1I,
2016-06-30,602746000.0,0000719739-16-000095,2016,Q2,10-Q,2016-08-08,CY2016Q2I,
2016-09-30,562912000.0,0000719739-16-000114,2016,Q3,10-Q,2016-11-08,CY2016Q3I,
2016-12-31,618383000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,,
2016-12-31,618383000.0,0000719739-17-000021,2017,Q1,10-Q,2017-05-10,,
2016-12-31,618383000.0,0000719739-17-000049,2017,Q2,10-Q,2017-08-07,,
2016-12-31,618383000.0,0000719739-17-000062,2017,Q3,10-Q,2017-11-08,,
2016-12-31,618383000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,CY2016Q4I,
2017-03-31,629555000.0,0000719739-17-000021,2017,Q1,10-Q,2017-05-10,CY2017Q1I,
2017-06-30,1145154000.0,0000719739-17-000049,2017,Q2,10-Q,2017-08-07,CY2017Q2I,
2017-09-30,990498000.0,0000719739-17-000062,2017,Q3,10-Q,2017-11-08,CY2017Q3I,
2017-12-31,911755000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,,
2017-12-31,911755000.0,0000719739-18-000024,2018,Q1,10-Q,2018-05-08,,
2017-12-31,911755000.0,0000719739-18-000038,2018,Q2,10-Q,2018-08-07,,
2017-12-31,911755000.0,0000719739-18-000049,2018,Q3,10-Q,2018-11-09,,
2017-12-31,911755000.0,0000719739-19-000018,2018,FY,10-K,2019-02-28,CY2017Q4I,
2018-03-31,1206660000.0,0000719739-18-000024,2018,Q1,10-Q,2018-05-08,CY2018Q1I,
2018-06-30,1062391000.0,0000719739-18-000038,2018,Q2,10-Q,2018-08-07,CY2018Q2I,
2018-09-30,1146109000.0,0000719739-18-000049,2018,Q3,10-Q,2018-11-09,CY2018Q3I,
2018-12-31,1006359000.0,0000719739-19-000018,2018,FY,10-K,2019-02-28,,
2018-12-31,1006359000.0,0000719739-19-000034,2019,Q1,10-Q,2019-05-09,,
2018-12-31,1006359000.0,0000719739-19-000052,2019,Q2,10-Q,2019-08-09,,
2018-12-31,1006359000.0,0000719739-19-000075,2019,Q3,10-Q,2019-11-12,,
2018-12-31,1006359000.0,0000719739-20-000016,2019,FY,10-K,2020-02-28,CY2018Q4I,
2019-03-31,1432928000.0,0000719739-19-000034,2019,Q1,10-Q,2019-05-09,CY2019Q1I,
2019-06-30,1540476000.0,0000719739-19-000052,2019,Q2,10-Q,2019-08-09,CY2019Q2I,
2019-09-30,1731222000.0,0000719739-19-000075,2019,Q3,10-Q,2019-11-12,CY2019Q3I,
2019-12-31,2041752000.0,0000719739-20-000016,2019,FY,10-K,2020-02-28,,
2019-12-31,2041752000.0,0000719739-20-000036,2020,Q1,10-Q,2020-05-11,,
2019-12-31,2041752000.0,0000719739-20-000055,2020,Q2,10-Q,2020-08-10,,
2019-12-31,2041752000.0,0000719739-20-000074,2020,Q3,10-Q,2020-11-05,,
2019-12-31,2041752000.0,0000719739-21-000023,2020,FY,10-K,2021-03-01,CY2019Q4I,
2020-03-31,2200953000.0,0000719739-20-000036,2020,Q1,10-Q,2020-05-11,CY2020Q1I,
2020-06-30,2623407000.0,0000719739-20-000055,2020,Q2,10-Q,2020-08-10,CY2020Q2I,
2020-09-30,3067221000.0,0000719739-20-000074,2020,Q3,10-Q,2020-11-05,CY2020Q3I,
2020-12-31,3971974000.0,0000719739-21-000023,2020,FY,10-K,2021-03-01,,
2020-12-31,3971974000.0,0000719739-21-000036,2021,Q1,10-Q,2021-05-10,,
2020-12-31,3972000000.0,0000719739-21-000060,2021,Q2,10-Q,2021-08-06,,
2020-12-31,3972000000.0,0000719739-21-000071,2021,Q3,10-Q,2021-11-08,,
2020-12-31,3972000000.0,0000719739-22-000023,2021,FY,10-K,2022-03-01,CY2020Q4I,
2021-03-31,6411705000.0,0000719739-21-000036,2021,Q1,10-Q,2021-05-10,CY2021Q1I,
2021-06-30,3449000000.0,0000719739-21-000060,2021,Q2,10-Q,2021-08-06,CY2021Q2I,
2021-09-30,2733000000.0,0000719739-21-000071,2021,Q3,10-Q,2021-11-08,CY2021Q3I,
2021-12-31,2587000000.0,0000719739-22-000023,2021,FY,10-K,2022-03-01,,
2021-12-31,2587000000.0,0000719739-22-000040,2022,Q1,10-Q,2022-05-06,,
2021-12-31,2587000000.0,0000719739-22-000055,2022,Q2,10-Q,2022-08-08,,
2021-12-31,2467000000.0,0000719739-22-000081,2022,Q3,10-Q,2022-11-07,,
2021-12-31,2467000000.0,0000719739-23-000021,2022,FY,10-K,2023-02-24,CY2021Q4I,
2022-03-31,2817000000.0,0000719739-22-000040,2022,Q1,10-Q,2022-05-06,CY2022Q1I,
2022-06-30,2721000000.0,0000719739-22-000055,2022,Q2,10-Q,2022-08-08,CY2022Q2I,
2022-09-30,2889000000.0,0000719739-22-000081,2022,Q3,10-Q,2022-11-07,CY2022Q3I,
2022-12-31,3041000000.0,0000719739-23-000021,2022,FY,10-K,2023-02-24,CY2022Q4I,
2008-12-31,55147000.0,0001193125-11-047635,2010,FY,10-K,2011-02-25,CY2008,2008-01-01
2009-06-30,-39851000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,,2009-01-01
2009-06-30,2377000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,CY2009Q2,2009-04-01
2009-09-30,-13442000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,,2009-01-01
2009-09-30,26409000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,CY2009Q3,2009-07-01
2009-12-31,10640000.0,0001193125-11-047635,2010,FY,10-K,2011-02-25,,2009-01-01
2009-12-31,10640000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,CY2009,2009-01-01
2010-03-31,29210000.0,0001193125-11-130721,2011,Q1,10-Q,2011-05-06,,2010-01-01
2010-03-31,29210000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,CY2010Q1,2010-01-01
2010-06-30,50396000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,,2010-01-01
2010-06-30,50396000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,,2010-01-01
2010-06-30,21186000.0,0001193125-10-181548,2010,Q2,10-Q,2010-08-06,,2010-04-01
2010-06-30,21186000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,,2010-04-01
2010-06-30,21186000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,CY2010Q2,2010-04-01
2010-09-30,102835000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,,2010-01-01
2010-09-30,102835000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,,2010-01-01
2010-09-30,52439000.0,0001193125-10-250157,2010,Q3,10-Q,2010-11-05,,2010-07-01
2010-09-30,52439000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,,2010-07-01
2010-09-30,52439000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,CY2010Q3,2010-07-01
2010-12-31,136817000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2010,2009-12-31
2010-12-31,136817000.0,0001193125-11-047635,2010,FY,10-K,2011-02-25,,2010-01-01
2010-12-31,136817000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,2010-01-01
2010-12-31,33982000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,CY2010Q4,2010-10-01
2011-03-31,73095000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2011Q1,2010-12-30
2011-03-31,73095000.0,0001193125-11-130721,2011,Q1,10-Q,2011-05-06,,2011-01-01
2011-03-31,73095000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,2011-01-01
2011-03-31,73095000.0,0001193125-12-225234,2012,Q1,10-Q,2012-05-10,,2011-01-01
2011-06-30,162827000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,,2011-01-01
2011-06-30,162827000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,,2011-01-01
2011-06-30,89732000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2011Q2,2011-03-31
2011-06-30,89732000.0,0001193125-11-212416,2011,Q2,10-Q,2011-08-05,,2011-04-01
2011-06-30,89732000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,2011-04-01
2011-06-30,89732000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,,2011-04-01
2011-09-30,238903000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,,2011-01-01
2011-09-30,238903000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,,2011-01-01
2011-09-30,76076000.0,0001193125-11-297377,2011,Q3,10-Q,2011-11-04,,2011-07-01
2011-09-30,76076000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,2011-07-01
2011-09-30,76076000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,,2011-07-01
2011-09-30,76076000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2011Q3,2011-07-01
2011-12-31,282793000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2011,2010-12-31
2011-12-31,282793000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,2011-01-01
2011-12-31,282793000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2011-01-01
2011-12-31,43890000.0,0001193125-12-085818,2011,FY,10-K,2012-02-28,,2011-10-01
2011-12-31,43890000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2011Q4,2011-10-01
2012-03-31,39933000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2012Q1,2011-12-31
2012-03-31,39933000.0,0001193125-12-225234,2012,Q1,10-Q,2012-05-10,,2012-01-01
2012-03-31,39933000.0,0000719739-13-000019,2013,Q1,10-Q,2013-05-10,,2012-01-01
2012-03-31,39933000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2012-01-01
2012-06-30,97011000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,,2012-01-01
2012-06-30,97011000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,,2012-01-01
2012-06-30,57078000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,CY2012Q2,2012-03-31
2012-06-30,57078000.0,0001193125-12-344003,2012,Q2,10-Q,2012-08-08,,2012-04-01
2012-06-30,57078000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,,2012-04-01
2012-06-30,57078000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2012-04-01
2012-09-30,150151000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,,2012-01-01
2012-09-30,150151000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,,2012-01-01
2012-09-30,53140000.0,0000719739-12-000011,2012,Q3,10-Q,2012-11-09,,2012-07-01
2012-09-30,53140000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,,2012-07-01
2012-09-30,53140000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,,2012-07-01
2012-09-30,53140000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,CY2012Q3,2012-07-01
2012-12-31,249813000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,,2012-01-01
2012-12-31,249813000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2012-01-01
2012-12-31,249813000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,CY2012,2012-01-01
2012-12-31,99662000.0,0000719739-13-000009,2012,FY,10-K,2013-02-27,,2012-10-01
2012-12-31,99662000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,CY2012Q4,2012-10-01
2013-03-31,60545000.0,0000719739-13-000019,2013,Q1,10-Q,2013-05-10,,2013-01-01
2013-03-31,60545000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2013-01-01
2013-03-31,60545000.0,0000719739-14-000021,2014,Q1,10-Q,2014-05-09,,2013-01-01
2013-03-31,60545000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,CY2013Q1,2013-01-01
2013-06-30,137033000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,,2013-01-01
2013-06-30,137033000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,,2013-01-01
2013-06-30,76488000.0,0000719739-13-000040,2013,Q2,10-Q,2013-08-08,,2013-04-01
2013-06-30,76488000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2013-04-01
2013-06-30,76488000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,,2013-04-01
2013-06-30,76488000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,CY2013Q2,2013-04-01
2013-09-30,353213000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,,2013-01-01
2013-09-30,353213000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,,2013-01-01
2013-09-30,216180000.0,0000719739-13-000054,2013,Q3,10-Q,2013-11-08,,2013-07-01
2013-09-30,216180000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2013-07-01
2013-09-30,216180000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,,2013-07-01
2013-09-30,216180000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,CY2013Q3,2013-07-01
2013-12-31,546119000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2013-01-01
2013-12-31,546119000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,2013-01-01
2013-12-31,544783000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,CY2013,2013-01-01
2013-12-31,192906000.0,0000719739-14-000012,2013,FY,10-K,2014-02-27,,2013-10-01
2013-12-31,192906000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,CY2013Q4,2013-10-01
2014-03-31,274706000.0,0000719739-14-000021,2014,Q1,10-Q,2014-05-09,,2014-01-01
2014-03-31,274706000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,2014-01-01
2014-03-31,274355000.0,0000719739-15-000034,2015,Q1,10-Q,2015-05-11,,2014-01-01
2014-03-31,274355000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,CY2014Q1,2014-01-01
2014-06-30,284906000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,,2014-01-01
2014-06-30,284711000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,,2014-01-01
2014-06-30,10200000.0,0000719739-14-000034,2014,Q2,10-Q,2014-08-08,,2014-04-01
2014-06-30,10200000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,2014-04-01
2014-06-30,10356000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,,2014-04-01
2014-06-30,10356000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,CY2014Q2,2014-04-01
2014-09-30,348078000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,,2014-01-01
2014-09-30,348865000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,,2014-01-01
2014-09-30,63172000.0,0000719739-14-000044,2014,Q3,10-Q,2014-11-07,,2014-07-01
2014-09-30,63172000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,2014-07-01
2014-09-30,64154000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,,2014-07-01
2014-09-30,64154000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,CY2014Q3,2014-07-01
2014-12-31,478715000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,2014-01-01
2014-12-31,478660000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,2014-01-01
2014-12-31,478660000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,CY2014,2014-01-01
2014-12-31,130637000.0,0000719739-15-000022,2014,FY,10-K,2015-02-26,,2014-10-01
2014-12-31,129795000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,CY2014Q4,2014-10-01
2015-03-31,145282000.0,0000719739-15-000034,2015,Q1,10-Q,2015-05-11,,2015-01-01
2015-03-31,102390000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,2015-01-01
2015-03-31,102390000.0,0000719739-16-000085,2016,Q1,10-Q,2016-05-10,,2015-01-01
2015-03-31,102390000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,CY2015Q1,2015-01-01
2015-06-30,196849000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,,2015-01-01
2015-06-30,196849000.0,0000719739-16-000095,2016,Q2,10-Q,2016-08-08,,2015-01-01
2015-06-30,94459000.0,0000719739-15-000048,2015,Q2,10-Q,2015-08-07,,2015-04-01
2015-06-30,94459000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,2015-04-01
2015-06-30,94459000.0,0000719739-16-000095,2016,Q2,10-Q,2016-08-08,,2015-04-01
2015-06-30,94459000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,CY2015Q2,2015-04-01
2015-09-30,284811000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,,2015-01-01
2015-09-30,284811000.0,0000719739-16-000114,2016,Q3,10-Q,2016-11-08,,2015-01-01
2015-09-30,87962000.0,0000719739-15-000059,2015,Q3,10-Q,2015-11-06,,2015-07-01
2015-09-30,87962000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,2015-07-01
2015-09-30,87962000.0,0000719739-16-000114,2016,Q3,10-Q,2016-11-08,,2015-07-01
2015-09-30,87962000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,CY2015Q3,2015-07-01
2015-12-31,374820000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,2015-01-01
2015-12-31,374820000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,,2015-01-01
2015-12-31,374820000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,CY2015,2015-01-01
2015-12-31,90009000.0,0000719739-16-000073,2015,FY,10-K,2016-02-26,,2015-10-01
2015-12-31,90009000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,CY2015Q4,2015-10-01
2016-03-31,76597000.0,0000719739-16-000085,2016,Q1,10-Q,2016-05-10,,2016-01-01
2016-03-31,76597000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,,2016-01-01
2016-03-31,76597000.0,0000719739-17-000021,2017,Q1,10-Q,2017-05-10,,2016-01-01
2016-03-31,76597000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,CY2016Q1,2016-01-01
2016-06-30,170977000.0,0000719739-16-000095,2016,Q2,10-Q,2016-08-08,,2016-01-01
2016-06-30,170977000.0,0000719739-17-000049,2017,Q2,10-Q,2017-08-07,,2016-01-01
2016-06-30,94380000.0,0000719739-16-000095,2016,Q2,10-Q,2016-08-08,,2016-04-01
2016-06-30,94380000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,,2016-04-01
2016-06-30,94380000.0,0000719739-17-000049,2017,Q2,10-Q,2017-08-07,,2016-04-01
2016-06-30,94380000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,CY2016Q2,2016-04-01
2016-09-30,286624000.0,0000719739-16-000114,2016,Q3,10-Q,2016-11-08,,2016-01-01
2016-09-30,286624000.0,0000719739-17-000062,2017,Q3,10-Q,2017-11-08,,2016-01-01
2016-09-30,115647000.0,0000719739-16-000114,2016,Q3,10-Q,2016-11-08,,2016-07-01
2016-09-30,115647000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,,2016-07-01
2016-09-30,115647000.0,0000719739-17-000062,2017,Q3,10-Q,2017-11-08,,2016-07-01
2016-09-30,115647000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,CY2016Q3,2016-07-01
2016-12-31,390266000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,,2016-01-01
2016-12-31,390266000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,,2016-01-01
2016-12-31,107880000.0,0000719739-18-000024,2018,Q1,10-Q,2018-05-08,,2016-01-01
2016-12-31,390266000.0,0000719739-19-000018,2018,FY,10-K,2019-02-28,CY2016,2016-01-01
2016-12-31,103642000.0,0000719739-17-000012,2016,FY,10-K,2017-02-28,,2016-10-01
2016-12-31,103642000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,CY2016Q4,2016-10-01
2017-03-31,107880000.0,0000719739-17-000021,2017,Q1,10-Q,2017-05-10,,2017-01-01
2017-03-31,107880000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,,2017-01-01
2017-03-31,107880000.0,0000719739-18-000024,2018,Q1,10-Q,2018-05-08,,2017-01-01
2017-03-31,107880000.0,0000719739-19-000018,2018,FY,10-K,2019-02-28,CY2017Q1,2017-01-01
2017-06-30,240396000.0,0000719739-17-000049,2017,Q2,10-Q,2017-08-07,,2017-01-01
2017-06-30,240396000.0,0000719739-18-000038,2018,Q2,10-Q,2018-08-07,,2017-01-01
2017-06-30,132516000.0,0000719739-17-000049,2017,Q2,10-Q,2017-08-07,,2017-04-01
2017-06-30,132516000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,,2017-04-01
2017-06-30,132516000.0,0000719739-18-000038,2018,Q2,10-Q,2018-08-07,,2017-04-01
2017-06-30,132516000.0,0000719739-19-000018,2018,FY,10-K,2019-02-28,CY2017Q2,2017-04-01
2017-09-30,394514000.0,0000719739-17-000062,2017,Q3,10-Q,2017-11-08,,2017-01-01
2017-09-30,394514000.0,0000719739-18-000049,2018,Q3,10-Q,2018-11-09,,2017-01-01
2017-09-30,154118000.0,0000719739-17-000062,2017,Q3,10-Q,2017-11-08,,2017-07-01
2017-09-30,154118000.0,0000719739-18-000011,2017,FY,10-K,2018-02-28,,2017-07-01
